13,"Deadwood",21,"SoilHUM","ignore","subtract","add","add","ignore","ignore",1
13,"Deadwood",22,"SoilIOM","ignore","subtract","add","add","ignore","ignore",1
13,"Deadwood",23,"SoilRPM","ignore","subtract","add","add","ignore","ignore",1
13,"Deadwood",26,"TreeCoarseLitter","ignore","ignore","ignore","ignore","ignore","ignore",1
13,"Deadwood",30,"TreeFineLitter","ignore","ignore","ignore","ignore","ignore","ignore",1
14,"ForestOffSiteProduct",5,"Atmosphere CH4","ignore","ignore","ignore","ignore","ignore","ignore",1
14,"ForestOffSiteProduct",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","ignore",1
14,"ForestOffSiteProduct",7,"AtmosphereCO2","ignore","ignore","ignore","ignore","ignore","ignore",1
15,"GrassFineRoot",1,"AgDeadFineRoots","subtract","add","ignore","ignore","ignore","ignore",1
15,"GrassFineRoot",3,"AgOffSiteProduct","subtract","ignore","ignore","ignore","ignore","ignore",1
16,"GrassLeaf",2,"AgFineLitter","subtract","add","ignore","ignore","ignore","ignore",1
16,"GrassLeaf",3,"AgOffSiteProduct","subtract","ignore","ignore","ignore","ignore","ignore",1
16,"GrassLeaf",5,"Atmosphere CH4","ignore","ignore","ignore","ignore","add","ignore",1
16,"GrassLeaf",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
16,"GrassLeaf",7,"AtmosphereCO2","subtract","ignore","ignore","ignore","ignore","ignore",1
17,"Manure",18,"SoilBioF","ignore","ignore","add","add","ignore","ignore",1
17,"Manure",19,"SoilBioS","ignore","ignore","add","add","ignore","ignore",1
17,"Manure",20,"SoilDPM","ignore","ignore","add","add","ignore","ignore",1
17,"Manure",21,"SoilHUM","ignore","ignore","add","add","ignore","ignore",1
17,"Manure",22,"SoilIOM","ignore","ignore","add","add","ignore","ignore",1
17,"Manure",23,"SoilRPM","ignore","ignore","add","add","ignore","ignore",1
18,"SoilBioF",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
18,"SoilBioF",7,"AtmosphereCO2","ignore","ignore","subtract","subtract","ignore","ignore",1
19,"SoilBioS",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
19,"SoilBioS",7,"AtmosphereCO2","ignore","ignore","subtract","subtract","ignore","ignore",1
20,"SoilDPM",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
20,"SoilDPM",7,"AtmosphereCO2","ignore","ignore","subtract","subtract","ignore","ignore",1
21,"SoilHUM",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
21,"SoilHUM",7,"AtmosphereCO2","ignore","ignore","subtract","subtract","ignore","ignore",1
21,"SoilHUM",18,"SoilBioF","ignore","ignore","ignore","ignore","ignore","ignore",1
21,"SoilHUM",19,"SoilBioS","ignore","ignore","ignore","ignore","ignore","ignore",1
22,"SoilIOM",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
22,"SoilIOM",7,"AtmosphereCO2","ignore","ignore","subtract","subtract","ignore","ignore",1
23,"SoilRPM",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
23,"SoilRPM",7,"AtmosphereCO2","ignore","ignore","subtract","subtract","ignore","ignore",1
23,"SoilRPM",18,"SoilBioF","ignore","ignore","ignore","ignore","ignore","ignore",1
23,"SoilRPM",19,"SoilBioS","ignore","ignore","ignore","ignore","ignore","ignore",1
23,"SoilRPM",21,"SoilHUM","ignore","ignore","ignore","ignore","ignore","ignore",1
24,"TreeBark",5,"Atmosphere CH4","ignore","ignore","ignore","ignore","add","ignore",1
24,"TreeBark",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
24,"TreeBark",7,"AtmosphereCO2","subtract","ignore","ignore","ignore","ignore","ignore",1
24,"TreeBark",14,"ForestOffSiteProduct","subtract","ignore","ignore","ignore","ignore","ignore",1
24,"TreeBark",30,"TreeFineLitter","subtract","add","ignore","ignore","ignore","ignore",1
25,"TreeBranch",5,"Atmosphere CH4","ignore","ignore","ignore","ignore","add","ignore",1
25,"TreeBranch",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
25,"TreeBranch",7,"AtmosphereCO2","subtract","ignore","ignore","ignore","ignore","ignore",1
25,"TreeBranch",13,"Deadwood","subtract","add","ignore","ignore","ignore","ignore",1
25,"TreeBranch",14,"ForestOffSiteProduct","subtract","ignore","ignore","ignore","ignore","ignore",1
25,"TreeBranch",26,"TreeCoarseLitter","subtract","add","ignore","ignore","ignore","ignore",1
26,"TreeCoarseLitter",5,"Atmosphere CH4","ignore","ignore","ignore","ignore","add","ignore",1
26,"TreeCoarseLitter",6,"Atmosphere N2O","ignore","ignore","ignore","ignore","ignore","add",1
26,"TreeCoarseLitter",7,"AtmosphereCO2","ignore","subtract","ignore","ignore","ignore","ignore",1
